sweep,value,n,passes,success_rate,ci_lo,ci_hi
repeat,10,10,6,0.6000,0.3127,0.8318
repeat,20,10,5,0.5000,0.2366,0.7634
repeat,30,10,5,0.5000,0.2366,0.7634
repeat,50,10,7,0.7000,0.3968,0.8922
repeat,75,10,2,0.2000,0.0567,0.5098
repeat,100,10,2,0.2000,0.0567,0.5098
evict,256,10,8,0.8000,0.4902,0.9433
evict,512,10,6,0.6000,0.3127,0.8318
evict,1024,10,1,0.1000,0.0179,0.4042
evict,2048,10,5,0.5000,0.2366,0.7634
evict,4096,10,10,1.0000,0.7225,1.0000
