count,n,passes,success_rate,ci_lo,ci_hi,mean_seconds,median_seconds,mean_min_time,mean_score
75000,8,6,0.7500,0.4093,0.9285,71.0000,71.0000,113.6250,17561.4069
60000,8,6,0.7500,0.4093,0.9285,56.7500,57.0000,112.7500,17220.3678
50000,8,5,0.6250,0.3057,0.8632,47.3750,47.0000,112.6250,17318.2208
45000,8,2,0.2500,0.0715,0.5907,42.8750,43.0000,115.1250,17452.4510
40000,8,2,0.2500,0.0715,0.5907,38.0000,38.0000,113.2500,17154.2871
30000,8,0,0.0000,0.0000,0.3244,29.0000,29.0000,116.0000,17960.4628
