sweep,count,repeat,evict_kb,trial,result,exit_code,min_time,score,seconds,used_samples,ignored_samples
repeat,100000,30,2048,3,FAIL,2,6875,911957.808,50,99965,35
evict,100000,50,4096,7,FAIL,2,11875,1547782.269,165,99974,26
repeat,100000,50,2048,5,FAIL,2,11417,1510731.809,84,99987,13
evict,100000,50,4096,10,FAIL,2,11752,1542938.851,163,99979,21
evict,100000,50,2048,1,FAIL,2,11516,1529831.337,83,99990,10
repeat,100000,30,2048,5,FAIL,2,6996,916639.364,49,99976,24
evict,100000,50,512,10,FAIL,2,10957,1486762.094,21,99942,58
evict,100000,50,2048,7,FAIL,2,11666,1525023.755,83,99989,11
repeat,100000,75,2048,10,FAIL,2,17533,2298338.508,123,99997,3
repeat,100000,75,2048,9,FAIL,2,17666,2314514.862,123,99997,3
repeat,100000,20,2048,6,FAIL,2,4338,602390.357,33,99918,82
evict,100000,50,256,5,FAIL,2,10875,1477504.879,11,99988,12
evict,100000,50,256,4,FAIL,2,10707,1471768.228,12,99983,17
evict,100000,50,512,6,FAIL,2,10988,1494919.723,21,99982,18
evict,100000,50,256,1,FAIL,2,11875,1568489.511,12,99953,47
repeat,100000,100,2048,6,FAIL,2,23335,3039730.985,164,99999,1
repeat,100000,50,2048,2,FAIL,2,11373,1510134.809,82,99979,21
repeat,100000,50,2048,9,FAIL,2,11670,1543175.997,82,99990,10
evict,100000,50,512,7,FAIL,2,11083,1494938.149,22,99989,11
evict,100000,50,2048,6,FAIL,2,11422,1510297.634,82,99981,19
evict,100000,50,512,1,FAIL,2,11084,1488526.919,21,99989,11
evict,100000,50,2048,10,FAIL,2,11331,1515307.144,83,99987,13
repeat,100000,10,2048,9,FAIL,2,2166,303255.112,16,99970,30
