count,n,passes,success_rate,ci_lo,ci_hi,mean_seconds,median_seconds,mean_min_time,mean_score,ci_width_n10,ci_width_n30,ci_width_ratio
500000,30,27,0.9000,0.7438,0.9654,414.4000,411.0000,11480.0000,1534869.2696,0.3863,0.2216,0.5737
250000,30,18,0.6000,0.4232,0.7541,205.4000,205.0000,11468.2000,1520591.1643,0.5191,0.3309,0.6374
100000,30,0,0.0000,0.0000,0.1135,82.6000,82.0000,11474.1000,1517718.0716,0.2775,0.1135,0.4091
50000,30,0,0.0000,0.0000,0.1135,41.2000,41.0000,11525.6000,1512952.2880,0.2775,0.1135,0.4091
