count,trial,repeat,evict_kb,result,exit_code,min_time,score,seconds,used_samples,ignored_samples
20000,10,50,2048,FAIL,2,12082,1567879.124,17,19998,2
150000,2,50,2048,PASS,0,11499,1503937.086,123,149972,28
45000,6,50,2048,FAIL,2,11540,1512733.155,37,44994,6
75000,7,50,2048,FAIL,2,11710,1532990.677,62,74989,11
300000,7,50,2048,PASS,0,11955,1581830.469,250,299965,35
20000,9,50,2048,FAIL,2,11669,1520997.184,16,19997,3
400000,4,50,2048,PASS,0,11331,1509427.939,329,399927,73
45000,9,50,2048,FAIL,2,11704,1518505.075,37,44995,5
40000,2,50,2048,FAIL,2,11538,1509223.628,33,39993,7
500000,10,50,2048,PASS,0,11169,1511401.233,410,499895,105
200000,1,50,2048,FAIL,2,11416,1511152.402,164,199975,25
45000,8,50,2048,FAIL,2,11583,1513867.982,37,44996,4
40000,1,50,2048,FAIL,2,11332,1509155.006,32,39990,10
50000,10,50,2048,FAIL,2,11706,1525346.295,42,49980,20
40000,5,50,2048,FAIL,2,11585,1528862.121,33,39996,4
75000,2,50,2048,FAIL,2,11283,1505155.799,62,74989,11
40000,6,50,2048,FAIL,2,11501,1517258.101,33,39994,6
30000,6,50,2048,FAIL,2,11794,1526269.130,25,29995,5
50000,4,50,2048,FAIL,2,11498,1516590.616,41,49992,8
10000,2,50,2048,FAIL,2,11347,1493204.794,8,9999,1
25000,6,50,2048,FAIL,2,11458,1507477.715,21,24995,5
400000,9,50,2048,PASS,0,11413,1509794.714,329,399934,66
200000,6,50,2048,FAIL,2,11377,1514643.455,164,199968,32
20000,3,50,2048,FAIL,2,11542,1515951.135,17,19995,5
30000,9,50,2048,FAIL,2,11790,1533257.245,25,29995,5
400000,2,50,2048,PASS,0,11255,1505712.778,328,399910,90
35000,2,50,2048,FAIL,2,11710,1523362.784,29,34998,2
200000,9,50,2048,FAIL,2,11345,1509195.611,164,199970,30
40000,7,50,2048,FAIL,2,11336,1502901.818,33,39991,9
150000,6,50,2048,FAIL,2,11577,1512558.265,124,149979,21
50000,2,50,2048,FAIL,2,11333,1506408.563,41,49993,7
20000,1,50,2048,FAIL,2,11583,1511444.097,16,19992,8
250000,4,50,2048,FAIL,2,11623,1526981.499,206,249956,44
400000,3,50,2048,PASS,0,11499,1520420.012,328,399945,55
60000,3,50,2048,FAIL,2,11542,1526551.461,49,59990,10
200000,8,50,2048,FAIL,2,11417,1515077.874,165,199954,46
25000,10,50,2048,FAIL,2,11583,1514007.464,20,24997,3
25000,2,50,2048,FAIL,2,11583,1510759.615,21,24997,3
75000,1,50,2048,FAIL,2,11790,1530377.151,62,74988,12
50000,3,50,2048,FAIL,2,11623,1518223.487,41,49997,3
30000,10,50,2048,FAIL,2,12045,1576973.141,25,29995,5
100000,6,50,2048,FAIL,2,11497,1517674.534,82,99989,11
300000,1,50,2048,FAIL,2,11248,1500509.007,246,299952,48
250000,1,50,2048,FAIL,2,11500,1513609.718,206,249970,30
10000,6,50,2048,FAIL,2,11661,1508823.364,8,9999,1
500000,6,50,2048,PASS,0,11292,1508512.150,411,499915,85
20000,2,50,2048,FAIL,2,11499,1507122.475,16,19997,3
500000,4,50,2048,FAIL,2,11619,1531860.163,412,499922,78
25000,4,50,2048,FAIL,2,11745,1521571.568,20,24996,4
50000,7,50,2048,FAIL,2,11874,1550735.463,41,49991,9
100000,5,50,2048,FAIL,2,11204,1509979.618,83,99983,17
60000,10,50,2048,FAIL,2,11583,1518999.252,49,59983,17
25000,7,50,2048,FAIL,2,11748,1535381.675,21,24997,3
200000,3,50,2048,FAIL,2,11540,1516714.158,164,199972,28
250000,5,50,2048,PASS,0,11417,1515224.066,206,249971,29
40000,9,50,2048,FAIL,2,11535,1499722.628,32,39992,8
300000,6,50,2048,FAIL,2,11249,1507201.268,246,299950,50
60000,4,50,2048,FAIL,2,11418,1499004.651,49,59982,18
45000,4,50,2048,FAIL,2,11492,1513923.744,37,44989,11
45000,3,50,2048,FAIL,2,11538,1510678.442,38,44999,1
300000,9,50,2048,PASS,0,11415,1519823.612,246,299952,48
50000,8,50,2048,FAIL,2,11324,1511060.081,41,49992,8
45000,2,50,2048,FAIL,2,11583,1529604.850,37,44984,16
25000,5,50,2048,FAIL,2,11499,1517819.720,21,24997,3
35000,6,50,2048,FAIL,2,11791,1526352.074,29,34993,7
50000,6,50,2048,FAIL,2,11507,1507608.139,41,49994,6
30000,7,50,2048,FAIL,2,11504,1506572.116,25,29996,4
45000,5,50,2048,FAIL,2,11496,1515306.892,37,44997,3
30000,5,50,2048,FAIL,2,11664,1512204.050,25,29994,6
500000,9,50,2048,PASS,0,11379,1523299.081,410,499937,63
60000,9,50,2048,FAIL,2,11375,1504431.175,50,59977,23
500000,2,50,2048,PASS,0,11501,1530933.216,410,499928,72
100000,10,50,2048,FAIL,2,11660,1524389.718,82,99991,9
400000,10,50,2048,PASS,0,11336,1502069.574,333,399935,65
