count,n,passes,success_rate,ci_lo,ci_hi,mean_seconds,median_seconds,mean_min_time,mean_score
500000,10,9,0.9000,0.5958,0.9821,414.4000,411.0000,11480.0000,1534869.2696
250000,10,6,0.6000,0.3127,0.8318,205.4000,205.0000,11468.2000,1520591.1643
100000,10,0,0.0000,0.0000,0.2775,82.6000,82.0000,11474.1000,1517718.0716
50000,10,0,0.0000,0.0000,0.2775,41.2000,41.0000,11525.6000,1512952.2880
