sweep,value,n,passes,success_rate,ci_lo,ci_hi
repeat,10,10,0,0.0000,0.0000,0.2775
repeat,20,10,0,0.0000,0.0000,0.2775
repeat,30,10,0,0.0000,0.0000,0.2775
repeat,50,10,0,0.0000,0.0000,0.2775
repeat,75,10,0,0.0000,0.0000,0.2775
repeat,100,10,1,0.1000,0.0179,0.4042
evict,256,10,0,0.0000,0.0000,0.2775
evict,512,10,0,0.0000,0.0000,0.2775
evict,1024,10,0,0.0000,0.0000,0.2775
evict,2048,10,0,0.0000,0.0000,0.2775
evict,4096,10,0,0.0000,0.0000,0.2775
